timestamp_iso,phase,elapsed_s,warmup_seconds,target_rps,write_offered,write_attempts,write_success,write_dropped_backpressure,read_attempts,read_success,in_flight_writes,in_flight_reads,effective_write_rps,effective_read_rps,window_seconds,write_attempts_window,write_success_window,read_attempts_window,read_success_window,effective_write_rps_window,effective_read_rps_window,p95_write_ms,p95_read_ms,p95_write_ms_window,p95_read_ms_window,write_offered_steady,write_attempts_steady,write_success_steady,write_dropped_backpressure_steady,read_attempts_steady,read_success_steady,effective_write_rps_steady,effective_read_rps_steady,p95_write_ms_steady,p95_read_ms_steady,top_write_failures,routing_worker_service_running,routing_worker_service_desired,routing_worker_service_pending,dijkfood_api_service_running,dijkfood_api_service_desired,dijkfood_api_service_pending,dijkfood_location_service_running,dijkfood_location_service_desired,dijkfood_location_service_pending
2026-04-21T10:56:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T10:56:53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T10:57:04,warmup,10.00123578000057,20,50,500,500,299,0,94,77,201,16,29.896305474360386,7.699048566975751,30,500,299,94,77,29.896305474360386,7.699048566975751,1680.1075777988435,1909.431574198243,1680.1075777988435,1909.431574198243,0,0,0,0,0,0,,,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T10:57:14,steady_state,20.00135251699976,20,50,1000,813,513,0,157,127,300,8,25.64826551424388,6.349570604890785,30,813,513,157,127,25.64826551424388,6.349570604890785,2236.2282267982573,1851.9036574012712,2236.2282267982573,1851.9036574012712,0,0,0,0,0,0,0.0,0.0,,,[],2,2,0,2,2,0,1,1,0
2026-04-21T10:57:25,steady_state,30.003032241002074,20,50,1501,1055,691,0,205,156,299,11,23.031005481362016,5.199474464677966,30,1054,691,205,156,23.033333333333335,5.2,5983.590865998849,1774.9619017486111,5983.590865998849,1774.9619017486111,501,55,5,0,11,8,0.499848433908388,0.7997574942534208,291.75311800208874,307.6795110497187,"[[""transition_timeout"", 39], [""timeout"", 26]]",2,2,0,2,2,0,1,1,0
2026-04-21T10:57:36,steady_state,40.01530473200182,20,50,2001,1224,785,0,239,167,299,10,19.617493987799232,4.173403179570028,30,723,486,145,90,16.2,3.0,6128.453159201306,1750.6318313986408,10900.544114000695,1483.387308800775,1001,224,31,0,45,19,1.5488147902357492,0.9492735811122334,398.12200050073443,594.4889655002017,"[[""transition_timeout"", 89], [""timeout"", 51]]",2,2,0,2,2,0,1,1,0
2026-04-21T10:57:47,steady_state,50.021213908999925,20,50,2501,1384,785,0,271,167,300,22,15.693341657563435,3.3385835118638134,30,382,272,77,40,9.066666666666666,1.3333333333333333,6128.453159201306,1750.6318313986408,11004.111639500661,382.0781788504971,1501,384,31,0,77,19,1.0326031483592557,0.6328858006072857,398.12200050073443,594.4889655002017,"[[""transition_timeout"", 175], [""timeout"", 124]]",2,2,0,2,2,1,1,1,0
2026-04-21T10:57:57,steady_state,60.04049668399966,20,50,3002,1552,785,0,304,167,300,7,13.074508762503235,2.7814560042522807,30,49,94,9,11,3.1333333333333333,0.36666666666666664,6128.453159201306,1750.6318313986408,10987.344458700136,1094.0793914996902,2002,552,31,0,110,19,0.774216170310088,0.47451958825457013,398.12200050073443,594.4889655002017,"[[""transition_timeout"", 247], [""timeout"", 220]]",2,2,0,2,2,1,1,1,0
2026-04-21T10:58:08,steady_state,70.04146377900179,20,50,3502,1806,785,0,355,167,300,35,11.207646980035568,2.3843019690011973,30,0,0,0,0,0.0,0.0,6128.453159201306,1750.6318313986408,,,2502,806,31,0,161,19,0.6194862751598427,0.37968513638829066,398.12200050073443,594.4889655002017,"[[""timeout"", 474], [""transition_timeout"", 247]]",2,2,0,2,2,2,1,1,0
2026-04-21T10:58:19,steady_state,90.06154751199938,20,50,4503,2133,785,0,421,167,300,18,8.716261508779985,1.854287480211793,30,0,0,0,0,0.0,0.0,6128.453159201306,1750.6318313986408,,,3503,1133,31,0,227,19,0.4424681027019944,0.2711901274625127,398.12200050073443,594.4889655002017,"[[""timeout"", 801], [""transition_timeout"", 247]]",2,2,0,2,2,2,1,1,0
2026-04-21T10:58:30,steady_state,100.08138592500109,20,50,5004,2348,812,0,464,174,300,24,8.113396836935252,1.7385850364861253,30,0,27,0,7,0.9,0.23333333333333334,10886.093376401004,1742.210977698778,13266.837465798744,1266.3133514979563,4004,1348,58,0,270,26,0.724263189629597,0.3246697056960262,12905.340569447433,1268.4103972478624,"[[""timeout"", 989], [""transition_timeout"", 247]]",2,2,0,3,2,1,1,1,0
2026-04-21T10:58:40,steady_state,110.10073925899997,20,50,5505,2438,812,0,482,174,300,10,7.375064013783401,1.5803708600964432,30,0,27,0,7,0.9,0.23333333333333334,10886.093376401004,1742.210977698778,13266.837465798744,1266.3133514979563,4505,1438,58,0,288,26,0.6437239081166196,0.28856588984538123,12905.340569447433,1268.4103972478624,"[[""timeout"", 1076], [""transition_timeout"", 250]]",2,2,0,3,2,0,1,1,0
2026-04-21T10:58:51,steady_state,120.1008317679989,20,50,6005,2686,812,0,531,174,300,18,6.760985648863416,1.4487826390421605,30,0,27,0,7,0.9,0.23333333333333334,10886.093376401004,1742.210977698778,13266.837465798744,1266.3133514979563,5005,1686,58,0,337,26,0.5794157648402473,0.25973810148011084,12905.340569447433,1268.4103972478624,"[[""timeout"", 1235], [""transition_timeout"", 339]]",2,2,0,3,2,0,1,1,0
2026-04-21T10:59:02,steady_state,130.1109851459987,20,50,6506,2820,869,0,558,186,299,13,6.678913383254206,1.4295487793846746,30,0,57,0,12,1.9,0.4,11147.331922000012,1787.526878250901,12444.153927401203,1862.2528318004697,5506,1820,115,0,364,38,1.044400791142853,0.3451063483776384,12766.299135698135,1730.3952007494443,"[[""timeout"", 1313], [""transition_timeout"", 339]]",2,2,0,2,2,0,1,1,0
2026-04-21T10:59:13,steady_state,140.12072274200182,20,50,7006,2917,891,0,577,195,300,3,6.3588024852009895,1.3916571095557722,30,0,79,0,21,2.6333333333333333,0.7,11320.263421001073,1769.720574899474,12348.132093600725,1797.4192690016935,6006,1917,137,0,383,47,1.1405192782119027,0.39127303705079874,12692.687279398524,1615.3133177987897,"[[""timeout"", 1379], [""transition_timeout"", 347]]",2,2,0,2,2,0,1,1,0
2026-04-21T10:59:24,steady_state,150.12108823200106,20,50,7506,3183,891,0,631,195,300,33,5.935208773753526,1.2989514151312433,30,0,79,0,21,2.6333333333333333,0.7,11320.263421001073,1769.720574899474,12348.132093600725,1797.4192690016935,6506,2183,137,0,437,47,1.0528654644797784,0.3612020206609458,12692.687279398524,1615.3133177987897,"[[""timeout"", 1454], [""transition_timeout"", 538]]",2,2,0,2,2,0,1,1,0
2026-04-21T10:59:34,steady_state,160.1405555909987,20,50,8007,3293,891,0,653,195,300,17,5.563862300288422,1.217680301409924,30,0,22,0,9,0.7333333333333333,0.3,11320.263421001073,1769.720574899474,11725.87891079911,1346.2534979989869,7007,2293,137,0,459,47,0.9775899590396627,0.3353775771887894,12692.687279398524,1615.3133177987897,"[[""timeout"", 1562], [""transition_timeout"", 540]]",2,2,0,2,2,0,1,1,0
2026-04-21T10:59:45,steady_state,170.1407666039995,20,50,8507,3506,891,0,695,195,300,16,5.236840163497037,1.146109800091944,30,0,0,0,0,0.0,0.0,11320.263421001073,1769.720574899474,,,7507,2506,137,0,501,47,0.9124770247200172,0.3130395632251154,12692.687279398524,1615.3133177987897,"[[""timeout"", 1775], [""transition_timeout"", 540]]",2,2,0,2,2,0,1,1,0
2026-04-21T10:59:56,steady_state,180.144801249,20,50,9008,3710,891,0,736,195,299,30,4.946021166430668,1.0824625448417289,30,0,0,0,0,0.0,0.0,11320.263421001073,1769.720574899474,,,8008,2710,137,0,542,47,0.8554757877340428,0.29348439433211687,12692.687279398524,1615.3133177987897,"[[""timeout"", 1980], [""transition_timeout"", 540]]",2,2,0,2,2,0,1,1,0
2026-04-21T11:00:07,steady_state,190.1606706040002,20,50,9508,3831,891,0,760,195,300,5,4.6855114528674635,1.025448634465943,30,0,0,0,0,0.0,0.0,11320.263421001073,1769.720574899474,,,8508,2831,137,0,566,47,0.8051214156226966,0.27620953674647253,12692.687279398524,1615.3133177987897,"[[""timeout"", 2100], [""transition_timeout"", 540]]",2,2,0,2,2,1,1,1,0
2026-04-21T11:00:18,steady_state,200.16119393700137,20,50,10008,4094,891,0,813,195,300,31,4.451412296633447,0.9742148123945253,30,0,0,0,0,0.0,0.0,11320.263421001073,1769.720574899474,,,9008,3094,137,0,619,47,0.7604301292980221,0.26087748961319007,12692.687279398524,1615.3133177987897,"[[""timeout"", 2363], [""transition_timeout"", 540]]",2,2,0,2,2,2,1,1,0
2026-04-21T11:00:28,steady_state,210.18069708199982,20,50,10509,4193,891,0,833,195,300,17,4.239209462952659,0.927773114787619,30,0,0,0,0,0.0,0.0,11320.263421001073,1769.720574899474,,,9509,3193,137,0,639,47,0.7203675352022187,0.24713338798908233,12692.687279398524,1615.3133177987897,"[[""timeout"", 2462], [""transition_timeout"", 540]]",2,2,0,2,2,2,1,1,0
